Date,06614800,06746095,07083000,07105945,09034900,09035800,09035900,09047700,09065500,09066000,09066200,09066300,09081600,09107000,09306242,09352900,WY
1988-06-01,,-1.186528956338552,,,,,,,,,,,,,,,1988
1988-09-01,,-0.5645574179164825,,,,,,,,,,,,,,,1988
1988-12-01,,-0.0034471149462871825,,,,,,,,,,,,,,,1989
1989-03-01,,-0.5650763617084085,,,,,,,,,,,,,,,1989
1989-06-01,,0.34364260026006027,,,,,,,,,,,,,,,1989
1989-09-01,,-0.4371390689606593,,,,,,,,,,,,,,,1989
1989-12-01,,0.0908153301687662,,,,,,,,,,,,,,,1990
1990-03-01,,0.5724646394780508,,,,,,,,,,,,,,,1990
1990-06-01,,-0.2960346846212687,,,,,,,,,,,,,,,1990
1990-09-01,,-0.22776242789050938,,,,,,,,,,,,,,,1990
1990-12-01,,-0.29021177541789006,,,,,,,,,,,,,,,1991
1991-03-01,,0.22635252386008978,,,,,,,,,,,,,,,1991
1991-06-01,,0.46817395025074005,,,,,,,,,,,,,,,1991
1991-09-01,,-0.22666787345647588,,,,,,,,,,,,,,,1991
1991-12-01,,-0.6979288935844917,,,,,,,,,,,,,,,1992
1992-03-01,,0.29320163199396077,,,,,,,,,,,,,,,1992
1992-06-01,,0.29707529940156496,,,,,,,,,,,,,,,1992
1992-09-01,,-0.3180524663227877,,,,,,,,,,,,,,,1992
1992-12-01,,0.4301369110177646,,,,,,,,,,,,,,,1993
1993-03-01,,0.43854157829625146,,,,,,,,,,,,,,,1993
1993-06-01,,0.04220324513973548,,,,,,,,,,,,,,,1993
1993-09-01,,0.42927625140486986,,,,,,,,,,,,,,,1993
1993-12-01,,-0.17831884441762458,,,,,,,,,,,,,,,1994
1994-03-01,,-0.917054655375549,,,,,,,,,,,,,,,1994
1994-06-01,,-0.8742743813788579,,,,,,,,,,,,,,,1994
1994-09-01,,-0.38780702506098746,,,,,,,,,,,,,,,1994
1994-12-01,,-0.4353081201912755,,,,,,,,,,,,,,,1995
1995-03-01,,1.3173283510479037,,,,,,,,,,,,,,,1995
1995-06-01,,0.4615791213483906,,,,,,,,,,,,,,,1995
1995-09-01,,1.1815600793530654,,,,,,,,,,,,,,,1995
1995-12-01,,0.3320657831818387,,,,,,,,,,,,,,,1996
1996-03-01,,-0.09301178349616457,,,,,,,,,,,,,,,1996
1996-06-01,,-0.6750093287401021,,,,,,,,,,,,,,,1996
1996-09-01,,0.4560325967458867,,,,,,,,,,,,,,,1996
1996-12-01,,1.0620549345807855,,,,,,,,,,,,,,,1997
1997-03-01,,0.035410720957024466,,,,,,,,,,,,,,,1997
1997-06-01,,0.2627076118948632,,,,,,,,,,,,,,,1997
1997-09-01,,0.6516031733754888,,,,,,,,,,,,,,,1997
